,Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
132,B-25708,709,-100,5,Electronics,Phones,COD
133,B-26021,21,-12,3,Clothing,Hankerchief,Debit Card
134,B-25831,693,254,6,Clothing,Saree,COD
135,B-25850,24,1,4,Clothing,Hankerchief,COD
136,B-25670,24,1,2,Clothing,Hankerchief,UPI
137,B-25852,24,1,2,Clothing,Hankerchief,COD
138,B-26029,21,10,1,Clothing,T-shirt,Debit Card
139,B-25959,681,259,4,Furniture,Chairs,COD
140,B-25676,674,-187,2,Furniture,Tables,COD
141,B-26097,671,-309,5,Electronics,Electronic Games,COD
142,B-25888,646,-213,3,Electronics,Electronic Games,COD
143,B-25911,40,15,1,Clothing,Kurti,COD
144,B-25662,24,-2,2,Clothing,T-shirt,COD
145,B-25950,644,167,2,Electronics,Printers,COD
146,B-25847,643,225,2,Electronics,Printers,COD
147,B-25796,632,-316,6,Clothing,Saree,COD
148,B-25693,632,316,6,Clothing,Saree,COD
149,B-25993,610,208,3,Electronics,Printers,COD
150,B-26052,78,-28,6,Clothing,Kurti,UPI
151,B-25930,595,119,4,Furniture,Bookcases,COD
152,B-25785,595,292,3,Clothing,Saree,COD
153,B-26093,852,51,5,Furniture,Bookcases,Credit Card
154,B-26053,594,89,3,Furniture,Bookcases,COD
155,B-26019,585,175,13,Clothing,T-shirt,COD
156,B-26070,582,262,5,Furniture,Furnishings,COD
157,B-25870,845,84,7,Clothing,Saree,Credit Card
158,B-25855,829,19,4,Electronics,Printers,Credit Card
159,B-25602,561,212,3,Clothing,Saree,COD
160,B-25728,771,-424,2,Electronics,Phones,Credit Card
161,B-25803,765,8,6,Clothing,Saree,EMI
162,B-25996,31,2,2,Clothing,Hankerchief,COD
163,B-26078,557,-111,2,Electronics,Electronic Games,COD
164,B-25803,757,371,2,Electronics,Printers,Credit Card
165,B-25682,545,-73,11,Electronics,Phones,COD
166,B-25749,1052,-82,3,Furniture,Bookcases,UPI
167,B-25962,544,-152,3,Furniture,Bookcases,COD
168,B-25899,22,9,2,Clothing,Leggings,Debit Card
169,B-25845,757,371,2,Electronics,Printers,Credit Card
170,B-25951,742,198,2,Furniture,Bookcases,Credit Card
171,B-25828,537,107,3,Clothing,Saree,COD
172,B-25803,536,91,1,Clothing,Trousers,COD
173,B-25656,6,3,1,Clothing,Hankerchief,COD
174,B-25681,523,204,7,Clothing,Trousers,COD
175,B-25658,27,9,2,Clothing,T-shirt,UPI
176,B-25698,516,392,8,Furniture,Chairs,COD
177,B-25832,504,116,3,Furniture,Bookcases,COD
178,B-25886,502,84,4,Electronics,Phones,COD
179,B-25897,734,213,6,Electronics,Electronic Games,Credit Card
180,B-25873,42,12,2,Clothing,Kurti,COD
181,B-25858,29,11,4,Clothing,Skirt,COD
182,B-25867,240,12,6,Clothing,Kurti,UPI
183,B-25633,496,-79,2,Clothing,Trousers,COD
184,B-25609,485,29,4,Electronics,Electronic Games,COD
185,B-25896,31,-11,3,Clothing,Skirt,UPI
186,B-26000,676,151,3,Electronics,Printers,Credit Card
187,B-25959,23,8,2,Clothing,Hankerchief,Debit Card
188,B-25940,13,3,2,Clothing,Hankerchief,COD
189,B-26087,180,0,8,Clothing,Stole,COD
190,B-26055,671,114,9,Electronics,Phones,Credit Card
191,B-25980,22,11,3,Clothing,Kurti,COD
192,B-25653,668,-31,3,Electronics,Printers,Credit Card
193,B-26052,145,0,3,Clothing,Saree,UPI
194,B-25877,24,8,2,Clothing,Skirt,Debit Card
195,B-25608,476,0,3,Furniture,Chairs,COD
196,B-25897,24,11,5,Clothing,Hankerchief,Debit Card
197,B-25881,37,3,3,Clothing,Hankerchief,COD
198,B-25905,152,50,6,Clothing,Stole,UPI
199,B-25818,32,11,2,Clothing,Leggings,UPI
200,B-25835,52,11,5,Clothing,Leggings,COD
201,B-26081,24,11,3,Clothing,Hankerchief,Debit Card
202,B-25730,473,42,4,Furniture,Chairs,COD
203,B-25837,263,50,5,Clothing,Stole,COD
204,B-25893,61,11,3,Clothing,Kurti,COD
205,B-25689,469,-459,3,Electronics,Electronic Games,COD
206,B-26028,1272,547,2,Electronics,Phones,COD
207,B-26081,169,0,3,Electronics,Accessories,COD
208,B-25903,25,11,3,Clothing,Leggings,Debit Card
209,B-25651,457,-41,4,Clothing,Saree,COD
210,B-25903,455,77,8,Electronics,Accessories,COD
211,B-26086,25,2,2,Clothing,Hankerchief,Debit Card
212,B-25654,450,-90,3,Electronics,Printers,COD
213,B-25720,30,-35,1,Furniture,Chairs,COD
214,B-26057,659,-37,2,Furniture,Bookcases,Credit Card
215,B-25798,448,148,2,Electronics,Printers,COD
216,B-25961,446,53,3,Electronics,Printers,COD
217,B-25701,98,-45,2,Furniture,Chairs,UPI
218,B-26055,443,11,1,Clothing,Saree,COD
219,B-25653,427,-50,7,Electronics,Phones,COD
220,B-25670,656,-36,2,Furniture,Bookcases,Credit Card
221,B-26056,424,161,2,Clothing,Saree,COD
222,B-26061,27,8,2,Clothing,T-shirt,Debit Card
223,B-25602,424,-272,5,Electronics,Phones,COD
224,B-26016,202,4,4,Clothing,Hankerchief,COD
225,B-25873,1275,357,2,Electronics,Phones,UPI
226,B-25761,418,70,7,Electronics,Phones,COD
227,B-25819,417,49,3,Electronics,Electronic Games,COD
228,B-25853,199,48,4,Clothing,Stole,UPI
229,B-25662,385,-77,11,Furniture,Furnishings,UPI
230,B-25993,414,199,3,Electronics,Phones,COD
231,B-25703,97,-45,4,Clothing,Saree,COD
232,B-25848,648,50,6,Electronics,Electronic Games,Credit Card
233,B-25678,27,-25,2,Clothing,Shirt,Debit Card
234,B-25925,27,12,1,Clothing,Stole,Debit Card
235,B-25977,27,1,1,Clothing,Stole,UPI
236,B-25797,413,-314,9,Furniture,Chairs,COD
237,B-26067,53,2,4,Clothing,Hankerchief,COD
238,B-25810,29,8,5,Clothing,Hankerchief,UPI
239,B-25648,30,13,1,Clothing,T-shirt,UPI
240,B-25933,412,412,6,Clothing,Saree,COD
241,B-25942,646,-23,2,Electronics,Printers,Credit Card
242,B-25656,30,-5,5,Clothing,Stole,UPI
243,B-26067,618,27,4,Furniture,Bookcases,Credit Card
244,B-25673,143,-124,5,Clothing,Saree,UPI
245,B-25797,31,1,2,Clothing,Hankerchief,UPI
246,B-26098,409,86,3,Clothing,Saree,COD
247,B-25656,406,126,2,Clothing,Saree,COD
248,B-25791,565,66,7,Clothing,Saree,Credit Card
249,B-26053,85,2,6,Clothing,Stole,COD
250,B-25983,561,118,5,Furniture,Bookcases,Credit Card
251,B-25743,503,-56,2,Clothing,Trousers,COD
252,B-25867,31,14,3,Clothing,Stole,UPI
253,B-25973,398,111,8,Clothing,Hankerchief,COD
254,B-25895,388,93,2,Furniture,Bookcases,COD
255,B-26003,498,-116,4,Clothing,Saree,UPI
256,B-25717,561,212,3,Clothing,Saree,Credit Card
257,B-26064,61,3,4,Clothing,Hankerchief,COD
258,B-25630,34,-22,4,Clothing,T-shirt,COD
259,B-26050,32,6,3,Clothing,Shirt,UPI
260,B-25786,623,-192,3,Furniture,Tables,UPI
261,B-26035,520,151,3,Electronics,Phones,Credit Card
262,B-25693,32,-16,6,Clothing,Saree,UPI
263,B-25703,32,-5,5,Clothing,Hankerchief,UPI
264,B-25966,510,234,6,Electronics,Electronic Games,EMI
265,B-26060,382,68,3,Clothing,Saree,COD
266,B-25898,33,13,3,Clothing,Leggings,UPI
267,B-25686,381,-13,2,Clothing,Saree,COD
268,B-26051,490,88,2,Electronics,Accessories,EMI
269,B-25854,381,144,2,Clothing,Saree,COD
270,B-26050,487,143,4,Electronics,Phones,EMI
271,B-25961,366,84,3,Furniture,Bookcases,COD
272,B-25701,33,-29,3,Clothing,Shirt,UPI
273,B-25970,365,107,3,Electronics,Phones,COD
274,B-25933,207,-100,2,Clothing,Saree,UPI
275,B-26081,359,-338,5,Furniture,Bookcases,COD
276,B-25650,351,-47,8,Electronics,Phones,COD
277,B-25850,485,199,4,Clothing,Saree,EMI
278,B-25643,37,-23,4,Clothing,Shirt,UPI
279,B-26100,34,10,2,Clothing,T-shirt,Debit Card
280,B-25964,346,108,3,Furniture,Chairs,COD
281,B-25676,342,-103,4,Electronics,Electronic Games,COD
282,B-25628,35,-8,2,Furniture,Furnishings,Debit Card
283,B-25891,121,41,4,Clothing,Stole,UPI
284,B-25903,336,57,2,Electronics,Phones,COD
285,B-25851,336,71,3,Furniture,Bookcases,COD
286,B-26089,27,4,1,Clothing,Hankerchief,COD
287,B-25996,333,50,2,Electronics,Phones,COD
288,B-25881,36,7,3,Clothing,Leggings,Debit Card
289,B-25621,333,-15,3,Electronics,Phones,COD
290,B-25727,327,114,4,Clothing,Trousers,COD
291,B-25843,18,6,3,Clothing,Hankerchief,UPI
292,B-26050,325,32,7,Clothing,T-shirt,COD
293,B-25741,482,-6,7,Electronics,Electronic Games,EMI
294,B-25756,465,-33,4,Electronics,Phones,EMI
295,B-25787,40,-12,3,Clothing,Shirt,COD
296,B-25603,107,36,6,Clothing,Stole,COD
297,B-25655,312,-312,7,Furniture,Chairs,COD
298,B-26096,451,25,3,Electronics,Phones,EMI
299,B-25962,312,62,1,Electronics,Electronic Games,COD
300,B-26007,311,72,2,Furniture,Bookcases,COD
301,B-26088,11,5,2,Clothing,Hankerchief,UPI
302,B-25673,37,-5,3,Clothing,T-shirt,Debit Card
303,B-25664,444,-200,4,Electronics,Phones,EMI
304,B-25642,434,26,11,Clothing,Shirt,Credit Card
305,B-25987,299,0,6,Clothing,Stole,COD
306,B-25903,37,17,3,Clothing,Hankerchief,Debit Card
307,B-25770,299,113,2,Furniture,Bookcases,COD
308,B-25840,298,74,2,Furniture,Bookcases,COD
309,B-25846,94,7,7,Clothing,Leggings,UPI
310,B-25745,296,225,11,Clothing,Saree,COD
311,B-26073,37,17,3,Clothing,Hankerchief,Debit Card
312,B-26030,291,93,2,Electronics,Printers,COD
313,B-25678,327,-39,1,Electronics,Phones,COD
314,B-26035,291,119,11,Clothing,Saree,COD
315,B-25896,287,-66,6,Clothing,Kurti,COD
316,B-25989,42,15,1,Electronics,Accessories,UPI
317,B-26016,429,61,3,Electronics,Electronic Games,Credit Card
318,B-26009,285,128,2,Electronics,Printers,COD
319,B-25915,277,3,1,Electronics,Electronic Games,COD
320,B-25845,274,-7,4,Electronics,Phones,COD
321,B-25645,273,-87,4,Electronics,Phones,COD
322,B-25803,269,91,1,Electronics,Electronic Games,COD
323,B-26030,11,5,1,Clothing,Skirt,COD
324,B-25955,39,2,2,Clothing,Saree,Debit Card
325,B-26096,264,-26,3,Clothing,Trousers,COD
326,B-25635,40,16,3,Clothing,Hankerchief,Debit Card
327,B-26038,41,19,2,Clothing,T-shirt,Debit Card
328,B-25791,253,-63,2,Clothing,Saree,UPI
329,B-26014,406,97,7,Furniture,Chairs,Credit Card
330,B-25751,32,7,3,Clothing,Hankerchief,COD
331,B-25962,260,68,2,Electronics,Printers,COD
332,B-26025,41,19,5,Clothing,Hankerchief,Debit Card
333,B-26048,401,13,6,Furniture,Chairs,Credit Card
334,B-25635,382,30,3,Clothing,Saree,Credit Card
335,B-25981,867,251,5,Electronics,Phones,COD
336,B-25610,43,0,3,Clothing,Saree,Debit Card
337,B-25733,43,-43,7,Clothing,Stole,Debit Card
338,B-25977,74,29,3,Clothing,Stole,COD
339,B-25655,44,-26,3,Clothing,Hankerchief,Debit Card
340,B-25612,259,-55,2,Furniture,Chairs,COD
341,B-25608,257,23,5,Clothing,Hankerchief,COD
342,B-25752,76,27,5,Clothing,Stole,COD
343,B-25700,44,-32,3,Clothing,Stole,Debit Card
344,B-25856,257,3,2,Clothing,Saree,COD
345,B-26026,255,76,9,Clothing,Hankerchief,COD
346,B-25861,44,14,3,Clothing,Hankerchief,Debit Card
347,B-25673,45,-2,4,Clothing,Shirt,COD
348,B-25681,44,-3,1,Clothing,Saree,Debit Card
349,B-26051,382,119,2,Clothing,Saree,Credit Card
350,B-25951,250,100,3,Clothing,Trousers,COD
351,B-25799,45,-15,2,Furniture,Chairs,COD
352,B-26053,246,61,2,Furniture,Bookcases,COD
353,B-26030,50,25,5,Clothing,Stole,COD
354,B-26054,246,98,5,Clothing,Hankerchief,COD
355,B-25696,44,99,3,Clothing,Kurti,Debit Card
356,B-25660,245,-78,3,Clothing,Saree,COD
357,B-25858,245,30,2,Clothing,Saree,COD
358,B-26045,376,0,7,Clothing,Stole,Credit Card
359,B-25850,45,1,3,Clothing,T-shirt,Debit Card
360,B-25781,45,-28,2,Clothing,Stole,Debit Card
361,B-25918,244,-122,5,Furniture,Furnishings,COD
362,B-25971,244,83,2,Furniture,Bookcases,COD
363,B-25870,10,4,1,Clothing,Kurti,UPI
364,B-25770,375,180,3,Furniture,Bookcases,Credit Card
365,B-25757,46,14,5,Clothing,Skirt,Debit Card
366,B-25699,49,-31,2,Clothing,Stole,UPI
367,B-25776,47,-20,2,Clothing,Kurti,Debit Card
368,B-25893,355,-114,7,Clothing,Stole,Credit Card
369,B-25985,32,8,5,Clothing,Hankerchief,UPI
370,B-25681,243,-14,2,Furniture,Chairs,COD
371,B-26063,241,-77,4,Electronics,Electronic Games,COD
372,B-26032,47,15,5,Clothing,Saree,Debit Card
373,B-26001,50,-10,6,Clothing,Skirt,Debit Card
374,B-26056,15,6,2,Clothing,Hankerchief,COD
375,B-25850,148,24,3,Clothing,Stole,COD
376,B-25767,299,-28,3,Electronics,Electronic Games,UPI
377,B-25693,68,-30,1,Electronics,Phones,UPI
378,B-25850,52,18,5,Clothing,Leggings,Debit Card
379,B-25796,239,-162,5,Furniture,Chairs,COD
380,B-26053,27,6,3,Clothing,Skirt,COD
381,B-25650,238,20,2,Clothing,Saree,COD
382,B-25961,48,16,3,Clothing,Shirt,COD
383,B-26023,66,22,3,Clothing,Stole,UPI
384,B-25809,53,24,1,Clothing,Hankerchief,Debit Card
385,B-25621,233,-10,5,Electronics,Electronic Games,COD
386,B-25854,53,-2,3,Clothing,Saree,Debit Card
387,B-26057,54,8,4,Clothing,T-shirt,Debit Card
388,B-25688,352,-345,5,Clothing,Saree,Credit Card
389,B-25885,349,0,7,Clothing,Stole,Credit Card
390,B-25753,341,-85,6,Clothing,Trousers,Credit Card
391,B-25981,54,12,3,Clothing,Saree,Debit Card
392,B-26055,57,7,2,Clothing,Shirt,UPI
393,B-25714,340,20,7,Clothing,Shirt,Credit Card
394,B-26055,227,48,5,Clothing,Stole,COD
395,B-25989,330,81,1,Furniture,Bookcases,Credit Card
396,B-25710,216,-38,6,Furniture,Furnishings,UPI
397,B-25773,224,-143,3,Furniture,Chairs,COD
398,B-25661,55,-33,2,Furniture,Chairs,Debit Card
399,B-26021,49,21,1,Clothing,Stole,UPI
400,B-26057,224,87,3,Clothing,Trousers,COD
401,B-25858,223,27,2,Furniture,Bookcases,COD
402,B-25857,324,39,8,Electronics,Accessories,Credit Card
403,B-25656,56,18,2,Clothing,Hankerchief,Debit Card
404,B-25999,223,62,7,Clothing,Shirt,COD
405,B-25856,10,2,2,Clothing,Skirt,COD
406,B-25926,57,6,5,Clothing,Leggings,Debit Card
407,B-25728,322,-113,4,Clothing,Saree,Credit Card
408,B-26076,219,4,2,Clothing,Saree,COD
409,B-25913,103,21,7,Clothing,Stole,UPI
410,B-25703,47,-27,4,Clothing,Saree,COD
411,B-25858,219,0,1,Clothing,Saree,COD
412,B-25727,57,-48,6,Clothing,Leggings,Debit Card
413,B-26020,319,102,6,Electronics,Accessories,Credit Card
414,B-26003,315,-8,3,Furniture,Chairs,Credit Card
415,B-25925,314,-41,3,Electronics,Electronic Games,Credit Card
416,B-26087,311,40,1,Electronics,Electronic Games,EMI
417,B-25810,307,74,3,Electronics,Accessories,EMI
418,B-25858,294,109,7,Electronics,Accessories,EMI
419,B-25861,216,-83,3,Electronics,Electronic Games,COD
420,B-25661,58,-42,2,Furniture,Chairs,Debit Card
421,B-25943,48,20,4,Clothing,Stole,UPI
422,B-25955,54,14,3,Clothing,T-shirt,UPI
423,B-26051,216,50,4,Clothing,Stole,COD
424,B-25999,215,-30,2,Clothing,Saree,COD
425,B-26083,43,8,3,Clothing,Leggings,COD
426,B-25950,136,-33,5,Clothing,Saree,COD
427,B-25625,59,-30,3,Clothing,Leggings,Debit Card
428,B-26055,213,4,14,Clothing,Shirt,COD
429,B-26023,59,21,2,Clothing,Stole,Debit Card
430,B-26010,55,3,3,Clothing,T-shirt,COD
431,B-25955,294,62,9,Clothing,T-shirt,EMI
432,B-25900,210,62,2,Electronics,Phones,COD
433,B-26089,59,24,6,Clothing,Kurti,Debit Card
434,B-25655,396,-31,9,Clothing,Saree,COD
435,B-25979,284,45,2,Furniture,Bookcases,EMI
436,B-26002,276,52,5,Clothing,Saree,EMI
437,B-25635,23,2,2,Clothing,Skirt,UPI
438,B-26084,209,-63,4,Electronics,Electronic Games,COD
439,B-25998,50,-28,5,Furniture,Furnishings,COD
440,B-25872,57,27,2,Clothing,Shirt,COD
441,B-25795,276,-21,2,Electronics,Phones,EMI
442,B-25902,268,6,2,Furniture,Bookcases,UPI
443,B-25650,269,111,3,Clothing,Trousers,EMI
444,B-25957,209,2,1,Clothing,Saree,COD
445,B-25793,60,-12,4,Clothing,Hankerchief,Debit Card
446,B-25654,269,-86,2,Electronics,Electronic Games,EMI
447,B-25750,208,-25,2,Clothing,Saree,COD
448,B-25835,27,2,2,Clothing,Leggings,UPI
449,B-25652,206,-206,3,Clothing,Saree,COD
450,B-26018,61,8,4,Clothing,Hankerchief,Debit Card
451,B-25750,212,-24,2,Furniture,Chairs,COD
452,B-25840,262,64,6,Clothing,Saree,EMI
453,B-25756,204,276,3,Furniture,Bookcases,COD
454,B-25777,59,-46,7,Clothing,T-shirt,UPI
455,B-25750,199,-18,2,Clothing,Saree,COD
456,B-25823,59,6,1,Electronics,Accessories,UPI
457,B-26096,45,9,3,Clothing,Leggings,UPI
458,B-25757,211,19,8,Clothing,Stole,COD
459,B-25698,65,-16,2,Electronics,Phones,Debit Card
460,B-25710,25,0,4,Clothing,Skirt,UPI
461,B-25994,196,-7,5,Electronics,Phones,COD
462,B-25950,261,13,6,Clothing,Shirt,Credit Card
463,B-25653,195,-117,5,Electronics,Phones,COD
464,B-25785,192,-146,3,Clothing,Saree,COD
465,B-25863,189,87,7,Clothing,Stole,COD
466,B-25959,32,2,2,Clothing,Kurti,UPI
467,B-25991,188,13,7,Clothing,Shirt,COD
468,B-25680,73,-25,3,Clothing,Saree,COD
469,B-25910,259,47,5,Clothing,Hankerchief,Credit Card
470,B-25737,187,-15,3,Clothing,Trousers,COD
471,B-25853,26,11,2,Clothing,Hankerchief,UPI
472,B-26097,185,-26,6,Furniture,Chairs,COD
473,B-25875,248,8,2,Clothing,Saree,Credit Card
474,B-26031,67,9,4,Clothing,Leggings,Debit Card
475,B-25773,248,-70,3,Furniture,Chairs,Credit Card
476,B-25840,246,61,2,Furniture,Bookcases,Credit Card
477,B-25908,179,-25,5,Clothing,Kurti,COD
478,B-26041,176,-28,5,Furniture,Furnishings,COD
479,B-26010,176,-13,5,Furniture,Furnishings,COD
480,B-25640,68,-62,2,Clothing,Trousers,Debit Card
481,B-25794,176,37,6,Electronics,Accessories,COD
482,B-25987,88,11,7,Clothing,Hankerchief,UPI
483,B-25615,68,20,5,Clothing,Hankerchief,Debit Card
484,B-25997,231,99,2,Electronics,Electronic Games,Credit Card
485,B-25981,62,8,2,Clothing,T-shirt,UPI
486,B-25791,175,77,3,Clothing,Saree,COD
487,B-25986,71,4,5,Clothing,Leggings,Debit Card
488,B-25652,174,-70,3,Electronics,Accessories,COD
489,B-25952,173,69,3,Furniture,Chairs,COD
490,B-25898,171,2,2,Electronics,Electronic Games,COD
491,B-25785,268,-25,3,Clothing,Saree,COD
492,B-25990,71,32,3,Clothing,Saree,Debit Card
493,B-26091,29,10,4,Clothing,Hankerchief,UPI
494,B-25604,65,17,2,Clothing,T-shirt,UPI
495,B-25754,72,-46,7,Clothing,Kurti,Debit Card
496,B-25724,168,-51,2,Furniture,Bookcases,COD
497,B-25757,165,30,3,Clothing,Stole,COD
498,B-25767,74,-59,2,Electronics,Accessories,Debit Card
499,B-25886,89,17,2,Clothing,Stole,UPI
500,B-25621,228,63,3,Electronics,Electronic Games,Credit Card
